,0
0,5.989031448960304
1,5.988795638084412
2,5.988949537277222
3,5.988927930593491
4,5.988907024264336
5,5.988887712359428
6,5.988869458436966
7,5.988853022456169
8,5.988837510347366
9,5.9888220727443695
10,5.988807767629623
11,5.988794207572937
12,5.988787218928337
13,5.988779231905937
14,5.988774240016937
15,5.988770306110382
16,5.988768383860588
17,5.9887679517269135
18,5.988761141896248
19,5.988755255937576
20,5.988749668002129
21,5.988745957612991
22,5.988744109869003
23,5.988742724061012
24,5.98874007165432
25,5.988739043474197
26,5.9887386709451675
27,5.988738983869553
28,5.988740712404251
29,5.988746866583824
30,5.988752841949463
31,5.988757535815239
32,5.98876279592514
33,5.988768935203552
34,5.988774955272675
35,5.988773316144943
36,5.988773092627525
37,5.988772541284561
38,5.988945633172989
39,5.988945111632347
40,5.9889418333768845
41,5.988937959074974
42,5.988933280110359
43,5.988927632570267
44,5.9889203906059265
45,5.988912835717201
46,5.988910764455795
47,5.988909125328064
48,5.988905996084213
49,5.988903194665909
50,5.9888995885849
51,5.98889322578907
52,5.988886803388596
53,5.988879814743996
54,5.9888725727796555
55,5.988864898681641
56,5.988859191536903
57,5.988856166601181
58,5.988853842020035
59,5.9888511300086975
60,5.9888478964567184
61,5.988843038678169
62,5.988833591341972
63,5.988823905587196
64,5.988814935088158
65,5.988806366920471
66,5.988798007369041
67,5.988789185881615
68,5.988783478736877
69,5.988778084516525
70,5.988772347569466
71,5.98876778781414
72,5.988763391971588
73,5.988929644227028
74,5.9889228492975235
75,5.988916218280792
76,5.988909289240837
77,5.988903135061264
78,5.988897368311882
79,5.988890990614891
80,5.988888204097748
81,5.988886043429375
82,5.988882973790169
83,5.9888796508312225
84,5.988874852657318
85,5.988870441913605
86,5.988866776227951
87,5.9888651967048645
88,5.988863155245781
89,5.988861620426178
90,5.988857105374336
91,5.98885241150856
92,5.988847240805626
93,5.988841459155083
94,5.9888356775045395
95,5.988827019929886
96,5.988820061087608
97,5.988813742995262
98,5.988807678222656
99,5.988801598548889
100,5.9887963235378265
101,5.9888027012348175
102,5.988809049129486
103,5.988824307918549
104,5.988830521702766
105,5.988832920789719
106,5.988835871219635
107,5.9888380616903305
108,5.988838121294975
109,5.989009842276573
110,5.989011585712433
111,5.989001601934433
112,5.988992124795914
113,5.988984033465385
114,5.988975867629051
115,5.988967940211296
116,5.988959729671478
117,5.988946661353111
118,5.988933652639389
